id,family,date,sales,Trained,store_nbr,onpromotion
209,EGGS,1/24/13,113,1,1,0
210,FROZEN FOODS,1/24/13,19,1,1,0
211,GROCERY I,1/24/13,1868,1,1,0
212,GROCERY II,1/24/13,11,1,1,0
213,MEATS,1/24/13,215.607,1,1,0
214,POULTRY,1/24/13,83.146,1,1,0
215,PRODUCE,1/24/13,0,1,1,0
216,SEAFOOD,1/24/13,25.198,1,1,0
217,BREAD/BAKERY,1/25/13,323.856,1,1,0
218,EGGS,1/25/13,148,1,1,0
219,FROZEN FOODS,1/25/13,44,1,1,0
220,GROCERY I,1/25/13,1706,1,1,0
221,GROCERY II,1/25/13,22,1,1,0
222,MEATS,1/25/13,507.85,1,1,0
223,POULTRY,1/25/13,203.907,1,1,0
224,PRODUCE,1/25/13,0,1,1,0
225,SEAFOOD,1/25/13,31.358,1,1,0
226,BREAD/BAKERY,1/26/13,311.019,1,1,0
227,EGGS,1/26/13,175,1,1,0
228,FROZEN FOODS,1/26/13,59,1,1,0
229,GROCERY I,1/26/13,1775,1,1,0
230,GROCERY II,1/26/13,22,1,1,0
231,MEATS,1/26/13,274.442,1,1,0
232,POULTRY,1/26/13,185.98201,1,1,0
233,PRODUCE,1/26/13,0,1,1,0
234,SEAFOOD,1/26/13,33.465,1,1,0
235,BREAD/BAKERY,1/27/13,152.783,1,1,0
236,EGGS,1/27/13,77,1,1,0
237,FROZEN FOODS,1/27/13,46,1,1,0
238,GROCERY I,1/27/13,811,1,1,0
239,GROCERY II,1/27/13,9,1,1,0
240,MEATS,1/27/13,267.816,1,1,0
241,POULTRY,1/27/13,107.689,1,1,0
242,PRODUCE,1/27/13,0,1,1,0
243,SEAFOOD,1/27/13,6.391,1,1,0
244,BREAD/BAKERY,1/28/13,312.064,1,1,0
245,EGGS,1/28/13,166,1,1,0
246,FROZEN FOODS,1/28/13,62,1,1,0
247,GROCERY I,1/28/13,1695,1,1,0
248,GROCERY II,1/28/13,15,1,1,0
249,MEATS,1/28/13,325.072,1,1,0
250,POULTRY,1/28/13,234.306,1,1,0
251,PRODUCE,1/28/13,0,1,1,0
252,SEAFOOD,1/28/13,22.292,1,1,0
253,BREAD/BAKERY,1/29/13,236.418,1,1,0
254,EGGS,1/29/13,150,1,1,0
255,FROZEN FOODS,1/29/13,63.736,1,1,0
256,GROCERY I,1/29/13,1575,1,1,0
257,GROCERY II,1/29/13,25,1,1,0
258,MEATS,1/29/13,260.633,1,1,0
259,POULTRY,1/29/13,151.86,1,1,0
260,PRODUCE,1/29/13,0,1,1,0
261,SEAFOOD,1/29/13,15.4140005,1,1,0
262,BREAD/BAKERY,1/30/13,280.501,1,1,0
263,EGGS,1/30/13,174,1,1,0
264,FROZEN FOODS,1/30/13,71.591,1,1,0
265,GROCERY I,1/30/13,2157,1,1,0
266,GROCERY II,1/30/13,38,1,1,0
267,MEATS,1/30/13,304.018,1,1,0
268,POULTRY,1/30/13,215.853,1,1,0
269,PRODUCE,1/30/13,0,1,1,0
270,SEAFOOD,1/30/13,27.467,1,1,0
271,BREAD/BAKERY,1/31/13,304.766,1,1,0
272,EGGS,1/31/13,121,1,1,0
273,FROZEN FOODS,1/31/13,35,1,1,0
274,GROCERY I,1/31/13,1496,1,1,0
275,GROCERY II,1/31/13,18,1,1,0
276,MEATS,1/31/13,264.937,1,1,0
277,POULTRY,1/31/13,107.302,1,1,0
278,PRODUCE,1/31/13,0,1,1,0
279,SEAFOOD,1/31/13,25.86,1,1,0
280,BREAD/BAKERY,2/1/13,318.274,1,1,0
281,EGGS,2/1/13,172,1,1,0
282,FROZEN FOODS,2/1/13,84.657,1,1,0
283,GROCERY I,2/1/13,1808,1,1,0
284,GROCERY II,2/1/13,12,1,1,0
285,MEATS,2/1/13,529.172,1,1,0
286,POULTRY,2/1/13,211.557,1,1,0
287,PRODUCE,2/1/13,0,1,1,0
288,SEAFOOD,2/1/13,32.779,1,1,0
289,BREAD/BAKERY,2/2/13,302.402,1,1,0
290,EGGS,2/2/13,193,1,1,0
291,FROZEN FOODS,2/2/13,81,1,1,0
292,GROCERY I,2/2/13,2092,1,1,0
293,GROCERY II,2/2/13,16,1,1,0
294,MEATS,2/2/13,253.804,1,1,0
295,POULTRY,2/2/13,144.11801,1,1,0
296,PRODUCE,2/2/13,0,1,1,0
297,SEAFOOD,2/2/13,29.006,1,1,0
298,BREAD/BAKERY,2/3/13,124.749,1,1,0
299,EGGS,2/3/13,84,1,1,0
300,FROZEN FOODS,2/3/13,29,1,1,0
301,GROCERY I,2/3/13,810,1,1,0
302,GROCERY II,2/3/13,11,1,1,0
303,MEATS,2/3/13,130.015,1,1,0
304,POULTRY,2/3/13,51.519,1,1,0
305,PRODUCE,2/3/13,0,1,1,0
306,SEAFOOD,2/3/13,15.372,1,1,0
307,BREAD/BAKERY,2/4/13,266.262,1,1,0
308,EGGS,2/4/13,153,1,1,0
309,FROZEN FOODS,2/4/13,83,1,1,0
310,GROCERY I,2/4/13,2221,1,1,0
311,GROCERY II,2/4/13,20,1,1,0
312,MEATS,2/4/13,305.111,1,1,0
313,POULTRY,2/4/13,286.828,1,1,0
314,PRODUCE,2/4/13,0,1,1,0
315,SEAFOOD,2/4/13,23.992,1,1,0
316,BREAD/BAKERY,2/5/13,253.111,1,1,0
317,EGGS,2/5/13,149,1,1,0
318,FROZEN FOODS,2/5/13,63,1,1,0
319,GROCERY I,2/5/13,1868,1,1,0
320,GROCERY II,2/5/13,23,1,1,0
321,MEATS,2/5/13,229.85,1,1,0
322,POULTRY,2/5/13,171.171,1,1,0
323,PRODUCE,2/5/13,0,1,1,0
324,SEAFOOD,2/5/13,25.782,1,1,0
325,BREAD/BAKERY,2/6/13,331.792,1,1,0
326,EGGS,2/6/13,197,1,1,0
327,FROZEN FOODS,2/6/13,92.348,1,1,0
328,GROCERY I,2/6/13,2056,1,1,0
329,GROCERY II,2/6/13,13,1,1,0
330,MEATS,2/6/13,338.001,1,1,0
331,POULTRY,2/6/13,168.727,1,1,0
332,PRODUCE,2/6/13,0,1,1,0
333,SEAFOOD,2/6/13,29.539001,1,1,0
334,BREAD/BAKERY,2/7/13,241.674,1,1,0
335,EGGS,2/7/13,109,1,1,0
336,FROZEN FOODS,2/7/13,70.024,1,1,0
337,GROCERY I,2/7/13,1474,1,1,0
338,GROCERY II,2/7/13,23,1,1,0
339,MEATS,2/7/13,267.696,1,1,0
340,POULTRY,2/7/13,121.133995,1,1,0
341,PRODUCE,2/7/13,0,1,1,0
342,SEAFOOD,2/7/13,16.476,1,1,0
343,BREAD/BAKERY,2/8/13,335.69,1,1,0
344,EGGS,2/8/13,165,1,1,0
345,FROZEN FOODS,2/8/13,82.688,1,1,0
346,GROCERY I,2/8/13,1767,1,1,0
347,GROCERY II,2/8/13,12,1,1,0
348,MEATS,2/8/13,511.773,1,1,0
349,POULTRY,2/8/13,245.172,1,1,0
350,PRODUCE,2/8/13,0,1,1,0
351,SEAFOOD,2/8/13,41.82,1,1,0
352,BREAD/BAKERY,2/9/13,190.026,1,1,0
353,EGGS,2/9/13,147,1,1,0
354,FROZEN FOODS,2/9/13,68,1,1,0
355,GROCERY I,2/9/13,1552,1,1,0
356,GROCERY II,2/9/13,26,1,1,0
357,MEATS,2/9/13,282.407,1,1,0
358,POULTRY,2/9/13,106.519,1,1,0
359,PRODUCE,2/9/13,0,1,1,0
360,SEAFOOD,2/9/13,13.227,1,1,0
361,BREAD/BAKERY,2/10/13,77.57,1,1,0
362,EGGS,2/10/13,37,1,1,0
363,FROZEN FOODS,2/10/13,34,1,1,0
364,GROCERY I,2/10/13,385,1,1,0
365,GROCERY II,2/10/13,5,1,1,0
366,MEATS,2/10/13,74.741,1,1,0
367,POULTRY,2/10/13,55.313,1,1,0
368,PRODUCE,2/10/13,0,1,1,0
369,SEAFOOD,2/10/13,9.642,1,1,0
370,BREAD/BAKERY,2/11/13,96.248,1,1,0
371,EGGS,2/11/13,46,1,1,0
372,FROZEN FOODS,2/11/13,22,1,1,0
373,GROCERY I,2/11/13,458,1,1,0
374,GROCERY II,2/11/13,2,1,1,0
375,MEATS,2/11/13,92.739,1,1,0
376,POULTRY,2/11/13,44.441998,1,1,0
377,PRODUCE,2/11/13,0,1,1,0
378,SEAFOOD,2/11/13,5,1,1,0
379,BREAD/BAKERY,2/12/13,96.456,1,1,0
380,EGGS,2/12/13,74,1,1,0
381,FROZEN FOODS,2/12/13,48.184,1,1,0
382,GROCERY I,2/12/13,628,1,1,0
383,GROCERY II,2/12/13,14,1,1,0
384,MEATS,2/12/13,106.388,1,1,0
385,POULTRY,2/12/13,114.57001,1,1,0
386,PRODUCE,2/12/13,0,1,1,0
387,SEAFOOD,2/12/13,11.296,1,1,0
388,BREAD/BAKERY,2/13/13,306.827,1,1,0
389,EGGS,2/13/13,194,1,1,0
390,FROZEN FOODS,2/13/13,62,1,1,0
391,GROCERY I,2/13/13,2422,1,1,0
392,GROCERY II,2/13/13,32,1,1,0
393,MEATS,2/13/13,326.558,1,1,0
394,POULTRY,2/13/13,179.157,1,1,0
395,PRODUCE,2/13/13,0,1,1,0
396,SEAFOOD,2/13/13,32.689,1,1,0
397,BREAD/BAKERY,2/14/13,356.423,1,1,0
398,EGGS,2/14/13,135,1,1,0
399,FROZEN FOODS,2/14/13,76,1,1,0
400,GROCERY I,2/14/13,1743,1,1,0
401,GROCERY II,2/14/13,29,1,1,0
402,MEATS,2/14/13,292.572,1,1,0
403,POULTRY,2/14/13,155.402,1,1,0
404,PRODUCE,2/14/13,0,1,1,0
405,SEAFOOD,2/14/13,30.473999,1,1,0
406,BREAD/BAKERY,2/15/13,270.04498,1,1,0
407,EGGS,2/15/13,192,1,1,0
408,FROZEN FOODS,2/15/13,68,1,1,0
409,GROCERY I,2/15/13,1713,1,1,0
410,GROCERY II,2/15/13,17,1,1,0
411,MEATS,2/15/13,516.148,1,1,0
412,POULTRY,2/15/13,186.246,1,1,0
413,PRODUCE,2/15/13,0,1,1,0
414,SEAFOOD,2/15/13,33.906,1,1,0
415,BREAD/BAKERY,2/16/13,301.624,1,1,0
416,EGGS,2/16/13,184,1,1,0
417,FROZEN FOODS,2/16/13,87,1,1,0
418,GROCERY I,2/16/13,2046,1,1,0
419,GROCERY II,2/16/13,33,1,1,0
420,MEATS,2/16/13,329.699,1,1,0
421,POULTRY,2/16/13,170.157,1,1,0
422,PRODUCE,2/16/13,0,1,1,0
423,SEAFOOD,2/16/13,30.302,1,1,0
424,BREAD/BAKERY,2/17/13,134.79001,1,1,0
425,EGGS,2/17/13,66,1,1,0
426,FROZEN FOODS,2/17/13,24,1,1,0
427,GROCERY I,2/17/13,630,1,1,0
428,GROCERY II,2/17/13,0,1,1,0
429,MEATS,2/17/13,128.175,1,1,0
430,POULTRY,2/17/13,62.993,1,1,0
431,PRODUCE,2/17/13,0,1,1,0
432,SEAFOOD,2/17/13,10.424,1,1,0
433,BREAD/BAKERY,2/18/13,336.924,1,1,0
434,EGGS,2/18/13,147,1,1,0
435,FROZEN FOODS,2/18/13,92,1,1,0
436,GROCERY I,2/18/13,1799,1,1,0
437,GROCERY II,2/18/13,24,1,1,0
438,MEATS,2/18/13,262.232,1,1,0
439,POULTRY,2/18/13,382.46802,1,1,0
440,PRODUCE,2/18/13,0,1,1,0
441,SEAFOOD,2/18/13,21.654,1,1,0
442,BREAD/BAKERY,2/19/13,312.449,1,1,0
443,EGGS,2/19/13,133,1,1,0
444,FROZEN FOODS,2/19/13,85,1,1,0
445,GROCERY I,2/19/13,1923,1,1,0
446,GROCERY II,2/19/13,29,1,1,0
447,MEATS,2/19/13,224.755,1,1,0
448,POULTRY,2/19/13,161.335,1,1,0
449,PRODUCE,2/19/13,0,1,1,0
450,SEAFOOD,2/19/13,26.345,1,1,0
451,BREAD/BAKERY,2/20/13,371.173,1,1,0
452,EGGS,2/20/13,185,1,1,0
453,FROZEN FOODS,2/20/13,81,1,1,0
454,GROCERY I,2/20/13,2246,1,1,0
455,GROCERY II,2/20/13,22,1,1,0
456,MEATS,2/20/13,322.954,1,1,0
457,POULTRY,2/20/13,192.62,1,1,0
458,PRODUCE,2/20/13,0,1,1,0
459,SEAFOOD,2/20/13,31.452,1,1,0
460,BREAD/BAKERY,2/21/13,323.04,1,1,0
461,EGGS,2/21/13,135,1,1,0
462,FROZEN FOODS,2/21/13,57,1,1,0
463,GROCERY I,2/21/13,2023,1,1,0
464,GROCERY II,2/21/13,31,1,1,0
465,MEATS,2/21/13,253.986,1,1,0
466,POULTRY,2/21/13,116.973,1,1,0
467,PRODUCE,2/21/13,0,1,1,0
468,SEAFOOD,2/21/13,27.6,1,1,0
469,BREAD/BAKERY,2/22/13,311.591,1,1,0
470,EGGS,2/22/13,173,1,1,0
471,FROZEN FOODS,2/22/13,81.766,1,1,0
472,GROCERY I,2/22/13,1741,1,1,0
473,GROCERY II,2/22/13,25,1,1,0
474,MEATS,2/22/13,570.617,1,1,0
475,POULTRY,2/22/13,176.352,1,1,0
476,PRODUCE,2/22/13,0,1,1,0
477,SEAFOOD,2/22/13,46.413002,1,1,0
478,BREAD/BAKERY,2/23/13,311.05402,1,1,0
479,EGGS,2/23/13,144,1,1,0
480,FROZEN FOODS,2/23/13,87,1,1,0
481,GROCERY I,2/23/13,1851,1,1,0
482,GROCERY II,2/23/13,25,1,1,0
483,MEATS,2/23/13,232.161,1,1,0
484,POULTRY,2/23/13,198.984,1,1,0
485,PRODUCE,2/23/13,0,1,1,0
486,SEAFOOD,2/23/13,35.781998,1,1,0
487,BREAD/BAKERY,2/24/13,146.674,1,1,0
488,EGGS,2/24/13,79,1,1,0
489,FROZEN FOODS,2/24/13,40,1,1,0
490,GROCERY I,2/24/13,782,1,1,0
491,GROCERY II,2/24/13,16,1,1,0
492,MEATS,2/24/13,146.001,1,1,0
493,POULTRY,2/24/13,68.441,1,1,0
494,PRODUCE,2/24/13,0,1,1,0
495,SEAFOOD,2/24/13,10.201,1,1,0
496,BREAD/BAKERY,2/25/13,293.047,1,1,0
497,EGGS,2/25/13,165,1,1,0
498,FROZEN FOODS,2/25/13,76,1,1,0
499,GROCERY I,2/25/13,1897,1,1,0
500,GROCERY II,2/25/13,53,1,1,0
501,MEATS,2/25/13,293.25198,1,1,0
502,POULTRY,2/25/13,183.749,1,1,0
503,PRODUCE,2/25/13,0,1,1,0
504,SEAFOOD,2/25/13,11.693,1,1,0
505,BREAD/BAKERY,2/26/13,280.463,1,1,0
506,EGGS,2/26/13,131,1,1,0
507,FROZEN FOODS,2/26/13,84.88,1,1,0
508,GROCERY I,2/26/13,1671,1,1,0
509,GROCERY II,2/26/13,27,1,1,0
510,MEATS,2/26/13,272.75598,1,1,0
511,POULTRY,2/26/13,124.575,1,1,0
512,PRODUCE,2/26/13,0,1,1,0
513,SEAFOOD,2/26/13,15.705,1,1,0
514,BREAD/BAKERY,2/27/13,357.617,1,1,0
515,EGGS,2/27/13,168,1,1,0
516,FROZEN FOODS,2/27/13,97.195,1,1,0
517,GROCERY I,2/27/13,2174,1,1,0
518,GROCERY II,2/27/13,19,1,1,0
519,MEATS,2/27/13,318.132,1,1,0
520,POULTRY,2/27/13,167.002,1,1,0
521,PRODUCE,2/27/13,0,1,1,0
522,SEAFOOD,2/27/13,43.823997,1,1,0
523,BREAD/BAKERY,2/28/13,248.44,1,1,0
524,EGGS,2/28/13,129,1,1,0
525,FROZEN FOODS,2/28/13,57,1,1,0
526,GROCERY I,2/28/13,1667,1,1,0
527,GROCERY II,2/28/13,25,1,1,0
528,MEATS,2/28/13,283.616,1,1,0
529,POULTRY,2/28/13,156.65201,1,1,0
530,PRODUCE,2/28/13,0,1,1,0
531,SEAFOOD,2/28/13,26.257,1,1,0
532,BREAD/BAKERY,3/1/13,317.251,1,1,0
533,EGGS,3/1/13,173,1,1,0
534,FROZEN FOODS,3/1/13,75,1,1,0
535,GROCERY I,3/1/13,1930,1,1,0
536,GROCERY II,3/1/13,30,1,1,0
537,MEATS,3/1/13,548.013,1,1,0
538,POULTRY,3/1/13,290.243,1,1,0
539,PRODUCE,3/1/13,0,1,1,0
540,SEAFOOD,3/1/13,28.392,1,1,0
541,BREAD/BAKERY,3/2/13,282.338,1,1,0
542,EGGS,3/2/13,187,1,1,0
543,FROZEN FOODS,3/2/13,90,1,1,0
544,GROCERY I,3/2/13,1980,1,1,0
545,GROCERY II,3/2/13,9,1,1,0
546,MEATS,3/2/13,298.891,1,1,0
547,POULTRY,3/2/13,164.523,1,1,0
548,PRODUCE,3/2/13,0,1,1,0
549,SEAFOOD,3/2/13,30.140999,1,1,0
550,BREAD/BAKERY,3/3/13,141.733,1,1,0
551,EGGS,3/3/13,86,1,1,0
552,FROZEN FOODS,3/3/13,36,1,1,0
553,GROCERY I,3/3/13,914,1,1,0
554,GROCERY II,3/3/13,17,1,1,0
555,MEATS,3/3/13,149.736,1,1,0
556,POULTRY,3/3/13,68.972,1,1,0
557,PRODUCE,3/3/13,0,1,1,0
558,SEAFOOD,3/3/13,16.978,1,1,0
559,BREAD/BAKERY,3/4/13,314.019,1,1,0
560,EGGS,3/4/13,152,1,1,0
561,FROZEN FOODS,3/4/13,79,1,1,0
562,GROCERY I,3/4/13,2299,1,1,0
563,GROCERY II,3/4/13,16,1,1,0
564,MEATS,3/4/13,339.293,1,1,0
565,POULTRY,3/4/13,184.067,1,1,0
566,PRODUCE,3/4/13,0,1,1,0
567,SEAFOOD,3/4/13,31.286999,1,1,0
568,BREAD/BAKERY,3/5/13,251.336,1,1,0
569,EGGS,3/5/13,133,1,1,0
570,FROZEN FOODS,3/5/13,61,1,1,0
571,GROCERY I,3/5/13,1746,1,1,0
